{'target': 0, 'label': 6, 'model_name': '', 'res_plus': -1.4866221070771481, 'res_plus_time': 688.664374, 'status_res_plus': 1.0}
{'target': 5, 'label': 1, 'model_name': '', 'res_plus': 3.439258292008079, 'res_plus_time': 758.626701, 'status_res_plus': 0.0}
{'target': 3, 'label': 5, 'model_name': '', 'res_plus': -1.3355115761940617, 'res_plus_time': 760.845804, 'status_res_plus': 1.0}
{'target': 3, 'label': 1, 'model_name': '', 'res_plus': -1.5281149099595526, 'res_plus_time': 695.857004, 'status_res_plus': 1.0}
{'target': 4, 'label': 6, 'model_name': '', 'res_plus': -2.2844178746574135, 'res_plus_time': 689.698456, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': 0.0984625920342374, 'res_plus_time': 750.382409, 'status_res_plus': 0.0}
{'target': 0, 'label': 9, 'model_name': '', 'res_plus': 11.740252078051757, 'res_plus_time': 738.71658, 'status_res_plus': 0.0}
{'target': 5, 'label': 3, 'model_name': '', 'res_plus': -1.0995022885970376, 'res_plus_time': 669.559814, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': 1.91841634217445, 'res_plus_time': 940.571357, 'status_res_plus': 0.0}
{'target': 8, 'label': 5, 'model_name': '', 'res_plus': 1.01617715028005, 'res_plus_time': 860.448195, 'status_res_plus': 0.0}
{'target': 3, 'label': 8, 'model_name': '', 'res_plus': -0.9054206621049814, 'res_plus_time': 712.937202, 'status_res_plus': 1.0}
{'target': 3, 'label': 1, 'model_name': '', 'res_plus': -0.7840468353006502, 'res_plus_time': 890.229821, 'status_res_plus': 1.0}
{'target': 9, 'label': 7, 'model_name': '', 'res_plus': -1.1682875383374067, 'res_plus_time': 615.27874, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': -0.5228625441058234, 'res_plus_time': 705.708305, 'status_res_plus': 1.0}
{'target': 8, 'label': 2, 'model_name': '', 'res_plus': -0.46347219435685183, 'res_plus_time': 601.312518, 'status_res_plus': 1.0}
{'target': 2, 'label': 3, 'model_name': '', 'res_plus': -0.04026537105045404, 'res_plus_time': 688.922132, 'status_res_plus': 1.0}
{'target': 8, 'label': 5, 'model_name': '', 'res_plus': -3.3972952964775476, 'res_plus_time': 506.637258, 'status_res_plus': 1.0}
{'target': 5, 'label': 6, 'model_name': '', 'res_plus': -3.178227426827753, 'res_plus_time': 649.654086, 'status_res_plus': 1.0}
{'target': 3, 'label': 2, 'model_name': '', 'res_plus': -3.495917118626254, 'res_plus_time': 656.999901, 'status_res_plus': 1.0}
{'target': 3, 'label': 5, 'model_name': '', 'res_plus': -2.497285404140905, 'res_plus_time': 683.986124, 'status_res_plus': 1.0}
{'target': 6, 'label': 2, 'model_name': '', 'res_plus': 0.800412165404662, 'res_plus_time': 678.093899, 'status_res_plus': 0.0}
{'target': 5, 'label': 0, 'model_name': '', 'res_plus': 0.5916921983998714, 'res_plus_time': 743.439398, 'status_res_plus': 0.0}
{'target': 3, 'label': 1, 'model_name': '', 'res_plus': -0.9146389933697703, 'res_plus_time': 872.824142, 'status_res_plus': 1.0}
{'target': 3, 'label': 8, 'model_name': '', 'res_plus': 1.9254431020348837, 'res_plus_time': 765.413134, 'status_res_plus': 0.0}
{'target': 3, 'label': 1, 'model_name': '', 'res_plus': -1.6276978129550412, 'res_plus_time': 598.352395, 'status_res_plus': 1.0}
{'target': 5, 'label': 6, 'model_name': '', 'res_plus': -2.8722461806470116, 'res_plus_time': 683.554017, 'status_res_plus': 1.0}
{'target': 5, 'label': 0, 'model_name': '', 'res_plus': 2.163770292148092, 'res_plus_time': 636.743208, 'status_res_plus': 0.0}
{'target': 2, 'label': 7, 'model_name': '', 'res_plus': 2.453598058262048, 'res_plus_time': 661.588301, 'status_res_plus': 0.0}
