{'target': 0, 'label': 6, 'model_name': '', 'res_plus': -4.635902950921478, 'res_plus_time': 657.084158, 'status_res_plus': 1.0}
{'target': 5, 'label': 1, 'model_name': '', 'res_plus': 0.10824479443640053, 'res_plus_time': 598.264592, 'status_res_plus': 0.0}
{'target': 3, 'label': 5, 'model_name': '', 'res_plus': -2.5871506256989316, 'res_plus_time': 900.395342, 'status_res_plus': 1.0}
{'target': 3, 'label': 1, 'model_name': '', 'res_plus': -4.50896847954482, 'res_plus_time': 620.794393, 'status_res_plus': 1.0}
{'target': 4, 'label': 6, 'model_name': '', 'res_plus': -4.166615951059275, 'res_plus_time': 737.299866, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': -0.5198606930398209, 'res_plus_time': 804.030096, 'status_res_plus': 1.0}
{'target': 0, 'label': 9, 'model_name': '', 'res_plus': 10.009094935472541, 'res_plus_time': 810.251771, 'status_res_plus': 0.0}
{'target': 5, 'label': 3, 'model_name': '', 'res_plus': -3.1611205203102224, 'res_plus_time': 954.851942, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': 0.9985063241758845, 'res_plus_time': 958.647466, 'status_res_plus': 0.0}
{'target': 8, 'label': 5, 'model_name': '', 'res_plus': -0.052542783116940106, 'res_plus_time': 773.095479, 'status_res_plus': 1.0}
{'target': 3, 'label': 8, 'model_name': '', 'res_plus': -2.3915742392341537, 'res_plus_time': 695.586684, 'status_res_plus': 1.0}
{'target': 3, 'label': 1, 'model_name': '', 'res_plus': -3.2730941816632764, 'res_plus_time': 860.262365, 'status_res_plus': 1.0}
{'target': 9, 'label': 7, 'model_name': '', 'res_plus': -2.763636730711069, 'res_plus_time': 847.523345, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': -1.656861628764784, 'res_plus_time': 721.937568, 'status_res_plus': 1.0}
{'target': 8, 'label': 2, 'model_name': '', 'res_plus': -1.7755546129351738, 'res_plus_time': 729.783207, 'status_res_plus': 1.0}
{'target': 2, 'label': 3, 'model_name': '', 'res_plus': -1.7853929577339094, 'res_plus_time': 621.341194, 'status_res_plus': 1.0}
{'target': 8, 'label': 5, 'model_name': '', 'res_plus': -5.419609315902365, 'res_plus_time': 888.675228, 'status_res_plus': 1.0}
{'target': 5, 'label': 6, 'model_name': '', 'res_plus': -5.258527319168827, 'res_plus_time': 730.228593, 'status_res_plus': 1.0}
{'target': 3, 'label': 2, 'model_name': '', 'res_plus': -4.8069053228953456, 'res_plus_time': 635.239905, 'status_res_plus': 1.0}
{'target': 3, 'label': 5, 'model_name': '', 'res_plus': -4.070452497505214, 'res_plus_time': 755.201871, 'status_res_plus': 1.0}
{'target': 6, 'label': 2, 'model_name': '', 'res_plus': -1.2940938240204114, 'res_plus_time': 680.68162, 'status_res_plus': 1.0}
{'target': 5, 'label': 0, 'model_name': '', 'res_plus': -2.1821950632379066, 'res_plus_time': 578.355656, 'status_res_plus': 1.0}
{'target': 3, 'label': 1, 'model_name': '', 'res_plus': -3.381751943804772, 'res_plus_time': 525.89614, 'status_res_plus': 1.0}
{'target': 3, 'label': 8, 'model_name': '', 'res_plus': 0.6874320184466765, 'res_plus_time': 879.994597, 'status_res_plus': 0.0}
{'target': 3, 'label': 1, 'model_name': '', 'res_plus': -4.185516342080494, 'res_plus_time': 543.967053, 'status_res_plus': 1.0}
{'target': 5, 'label': 6, 'model_name': '', 'res_plus': -4.8912390207850205, 'res_plus_time': 707.562215, 'status_res_plus': 1.0}
{'target': 5, 'label': 0, 'model_name': '', 'res_plus': -0.5629135687544397, 'res_plus_time': 887.522298, 'status_res_plus': 1.0}
{'target': 2, 'label': 7, 'model_name': '', 'res_plus': 0.4134480524117266, 'res_plus_time': 805.255595, 'status_res_plus': 0.0}
{'target': 9, 'label': 4, 'model_name': '', 'res_plus': -2.5313429638813334, 'res_plus_time': 651.889583, 'status_res_plus': 1.0}
{'target': 4, 'label': 6, 'model_name': '', 'res_plus': -2.6525270610303373, 'res_plus_time': 673.217847, 'status_res_plus': 1.0}
{'target': 5, 'label': 6, 'model_name': '', 'res_plus': -4.805817851246627, 'res_plus_time': 680.974722, 'status_res_plus': 1.0}
{'target': 7, 'label': 7, 'model_name': '', 'res_plus': 1.2674088709516347, 'res_plus_time': 521.008629, 'status_res_plus': 0.0}
{'target': 9, 'label': 7, 'model_name': '', 'res_plus': -1.2909151329943689, 'res_plus_time': 625.795392, 'status_res_plus': 1.0}
{'target': 7, 'label': 9, 'model_name': '', 'res_plus': 0.033253284700962824, 'res_plus_time': 774.553703, 'status_res_plus': 0.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': -1.5500078946698321, 'res_plus_time': 656.307922, 'status_res_plus': 1.0}
{'target': 2, 'label': 1, 'model_name': '', 'res_plus': -3.996191638402954, 'res_plus_time': 679.166076, 'status_res_plus': 1.0}
{'target': 5, 'label': 9, 'model_name': '', 'res_plus': 0.8985955223841572, 'res_plus_time': 580.271152, 'status_res_plus': 0.0}
{'target': 5, 'label': 3, 'model_name': '', 'res_plus': -0.33498368306933657, 'res_plus_time': 725.066754, 'status_res_plus': 1.0}
{'target': 1, 'label': 2, 'model_name': '', 'res_plus': -1.1748144568490653, 'res_plus_time': 553.847073, 'status_res_plus': 1.0}
{'target': 3, 'label': 2, 'model_name': '', 'res_plus': -2.261924114335588, 'res_plus_time': 485.159759, 'status_res_plus': 1.0}
{'target': 8, 'label': 2, 'model_name': '', 'res_plus': -4.959116227954498, 'res_plus_time': 593.272401, 'status_res_plus': 1.0}
{'target': 8, 'label': 5, 'model_name': '', 'res_plus': -4.42741522637559, 'res_plus_time': 624.76944, 'status_res_plus': 1.0}
{'target': 9, 'label': 7, 'model_name': '', 'res_plus': -0.7072370488107601, 'res_plus_time': 545.177322, 'status_res_plus': 1.0}
{'target': 2, 'label': 7, 'model_name': '', 'res_plus': 1.0135844549764765, 'res_plus_time': 774.76893, 'status_res_plus': 0.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': -1.6821304070431669, 'res_plus_time': 690.644956, 'status_res_plus': 1.0}
{'target': 8, 'label': 5, 'model_name': '', 'res_plus': -1.1956842494967062, 'res_plus_time': 679.058937, 'status_res_plus': 1.0}
{'target': 5, 'label': 3, 'model_name': '', 'res_plus': 0.21317015574964893, 'res_plus_time': 505.776461, 'status_res_plus': 0.0}
{'target': 3, 'label': 1, 'model_name': '', 'res_plus': -3.4599779374497843, 'res_plus_time': 478.935625, 'status_res_plus': 1.0}
{'target': 2, 'label': 0, 'model_name': '', 'res_plus': -3.670700690200462, 'res_plus_time': 596.756022, 'status_res_plus': 1.0}
{'target': 8, 'label': 2, 'model_name': '', 'res_plus': -2.0483132199461958, 'res_plus_time': 744.679331, 'status_res_plus': 1.0}
{'target': 2, 'label': 8, 'model_name': '', 'res_plus': -0.29122916835806806, 'res_plus_time': 656.138563, 'status_res_plus': 1.0}
{'target': 2, 'label': 3, 'model_name': '', 'res_plus': -1.180008980616841, 'res_plus_time': 678.64576, 'status_res_plus': 1.0}
{'target': 5, 'label': 6, 'model_name': '', 'res_plus': -2.2732424925356023, 'res_plus_time': 427.44853, 'status_res_plus': 1.0}
{'target': 3, 'label': 5, 'model_name': '', 'res_plus': -1.6176400762129355, 'res_plus_time': 641.340203, 'status_res_plus': 1.0}
{'target': 8, 'label': 0, 'model_name': '', 'res_plus': -6.435417984326287, 'res_plus_time': 584.071935, 'status_res_plus': 1.0}
{'target': 9, 'label': 4, 'model_name': '', 'res_plus': -1.1213047927475215, 'res_plus_time': 527.976561, 'status_res_plus': 1.0}
{'target': 9, 'label': 4, 'model_name': '', 'res_plus': -1.4874406958804447, 'res_plus_time': 523.224099, 'status_res_plus': 1.0}
{'target': 8, 'label': 0, 'model_name': '', 'res_plus': -5.478284440143147, 'res_plus_time': 558.982064, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': -1.3082605072948552, 'res_plus_time': 513.418235, 'status_res_plus': 1.0}
{'target': 9, 'label': 4, 'model_name': '', 'res_plus': -2.804025890362412, 'res_plus_time': 644.169419, 'status_res_plus': 1.0}
{'target': 8, 'label': 2, 'model_name': '', 'res_plus': -4.470203574435035, 'res_plus_time': 614.516208, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': -1.360745242005391, 'res_plus_time': 784.179818, 'status_res_plus': 1.0}
{'target': 3, 'label': 8, 'model_name': '', 'res_plus': -3.0034116031122804, 'res_plus_time': 622.549271, 'status_res_plus': 1.0}
