{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.01836772981422557, 'Primal_time': 5.252424, 'Dual': 0.009072777770588986, 'Dual_time': 6.868858, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.000602848145139934, 'res_plus_time': 8.195256, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.022277569341189997, 'Primal_time': 4.99699, 'Dual': 0.011688499854267235, 'Dual_time': 4.834655, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0021084080212711138, 'res_plus_time': 7.73728, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.019205104003324702, 'Primal_time': 5.045742, 'Dual': 0.009671035092129479, 'Dual_time': 7.28474, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0009359178775397304, 'res_plus_time': 8.280556, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.04357045863436698, 'Primal_time': 5.391955, 'Dual': 0.024655608045525027, 'Dual_time': 3.429414, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0027801103802454655, 'res_plus_time': 10.371377, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.03961116342246984, 'Primal_time': 5.57316, 'Dual': 0.019413129044720635, 'Dual_time': 3.280682, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0008349638989746217, 'res_plus_time': 8.630321, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.03841309230149067, 'Primal_time': 5.768378, 'Dual': 0.01898639432314071, 'Dual_time': 3.151667, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0006738913512462465, 'res_plus_time': 12.119348, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.041747882276284363, 'Primal_time': 5.076026, 'Dual': 0.021019643470675333, 'Dual_time': 5.621247, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0019474496896674592, 'res_plus_time': 8.787034, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.01909226448240847, 'Primal_time': 4.724289, 'Dual': 0.009541126410692137, 'Dual_time': 3.198238, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0008883697809947572, 'res_plus_time': 7.854493, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.020662733589203966, 'Primal_time': 4.609348, 'Dual': 0.011765598587942116, 'Dual_time': 3.274146, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.001587188867784552, 'res_plus_time': 7.294735, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.052268976003723724, 'Primal_time': 5.583422, 'Dual': 0.030192011566495154, 'Dual_time': 7.170248, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0049502657705974675, 'res_plus_time': 9.245567, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.020838226250337953, 'Primal_time': 4.936818, 'Dual': 0.010881877497963086, 'Dual_time': 3.06905, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.001595594610627902, 'res_plus_time': 7.636601, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.02331711646731523, 'Primal_time': 4.966516, 'Dual': 0.013729109426408828, 'Dual_time': 3.289761, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.002662675856182019, 'res_plus_time': 8.159751, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.05178727902527068, 'Primal_time': 5.644433, 'Dual': 0.029777307669345405, 'Dual_time': 7.012502, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.004943466464340305, 'res_plus_time': 8.791102, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.04775620740978229, 'Primal_time': 5.798363, 'Dual': 0.026928342395425006, 'Dual_time': 6.839241, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0038849379816293557, 'res_plus_time': 8.817899, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.015732268192567102, 'Primal_time': 5.665138, 'Dual': 0.006879107983735082, 'Dual_time': 5.232943, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 9.554047561655357e-06, 'res_plus_time': 7.830474, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.016325829642604442, 'Primal_time': 5.29783, 'Dual': 0.007766270360707577, 'Dual_time': 4.134599, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.00015487770320409095, 'res_plus_time': 7.623756, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.01941872706936758, 'Primal_time': 4.840504, 'Dual': 0.009974671920666325, 'Dual_time': 7.07791, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0012879182776174072, 'res_plus_time': 8.466291, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.021162479099328117, 'Primal_time': 4.906382, 'Dual': 0.011132407244446087, 'Dual_time': 3.060113, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.001671457606468138, 'res_plus_time': 7.376076, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.03730265572927625, 'Primal_time': 5.631349, 'Dual': 0.017413847913110042, 'Dual_time': 5.666614, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0003274178038821693, 'res_plus_time': 8.839703, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.02143123011529459, 'Primal_time': 4.704443, 'Dual': 0.011266440104209009, 'Dual_time': 3.090375, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0017802174014946482, 'res_plus_time': 7.698863, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.04040344216371564, 'Primal_time': 4.988298, 'Dual': 0.0198153267933435, 'Dual_time': 3.421144, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0010739492285222446, 'res_plus_time': 10.269736, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.021207874200355244, 'Primal_time': 4.942889, 'Dual': 0.011206603821676524, 'Dual_time': 6.334437, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0017481597131200242, 'res_plus_time': 7.786061, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.021118118095829346, 'Primal_time': 5.411853, 'Dual': 0.01104098771830713, 'Dual_time': 3.40079, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0016516015765003873, 'res_plus_time': 7.771998, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.04035656050950362, 'Primal_time': 5.54677, 'Dual': 0.020558064343340204, 'Dual_time': 3.496541, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0014186216441752259, 'res_plus_time': 7.813582, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.046033307431064374, 'Primal_time': 5.347622, 'Dual': 0.027032745244822465, 'Dual_time': 3.436577, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.003732534083642731, 'res_plus_time': 8.826973, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.019847763096933105, 'Primal_time': 4.679411, 'Dual': 0.011062285207346286, 'Dual_time': 3.266829, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0011143582535391807, 'res_plus_time': 8.064464, 'status_res_plus': 0.0}
