{'target': 0, 'label': 0, 'model_name': '', 'Primal': 4.368310491657055, 'Primal_time': 0.991533, 'Dual': 4.368289983369262, 'Dual_time': 0.713272, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 4.368282966083783, 'res_plus_time': 0.762772, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': -4.421535031834743, 'Primal_time': 1.608787, 'Dual': -4.422310199702842, 'Dual_time': 0.929073, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.422314571214282, 'res_plus_time': 0.809161, 'status_res_plus': 1.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 4.106234335631259, 'Primal_time': 0.714836, 'Dual': 4.106168855772676, 'Dual_time': 0.573172, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 4.1061545704377105, 'res_plus_time': 0.875444, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': -6.696362648961292, 'Primal_time': 1.538394, 'Dual': -6.70730961989918, 'Dual_time': 0.741904, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -6.7276467838167004, 'res_plus_time': 0.785656, 'status_res_plus': 1.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': -7.404517572847006, 'Primal_time': 1.165209, 'Dual': -7.408219523969197, 'Dual_time': 0.94031, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -7.416426158510253, 'res_plus_time': 1.026518, 'status_res_plus': 1.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': -7.248636365651709, 'Primal_time': 0.908781, 'Dual': -7.248975918842893, 'Dual_time': 0.466379, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -7.248972613089749, 'res_plus_time': 0.493371, 'status_res_plus': 1.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': -6.7254767931596655, 'Primal_time': 1.165202, 'Dual': -6.762075750106893, 'Dual_time': 0.818116, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -6.7741451080337916, 'res_plus_time': 1.113598, 'status_res_plus': 1.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 4.301117973512414, 'Primal_time': 1.487081, 'Dual': 4.300436465439312, 'Dual_time': 0.575093, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 4.300408136832511, 'res_plus_time': 0.783604, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 3.8863185549610213, 'Primal_time': 0.993358, 'Dual': 3.885588376293963, 'Dual_time': 0.600503, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 3.885558819890249, 'res_plus_time': 0.677832, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': -6.8606566435155525, 'Primal_time': 0.709567, 'Dual': -6.860622636125781, 'Dual_time': 0.907778, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -6.860665644795607, 'res_plus_time': 0.479024, 'status_res_plus': 1.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': -5.030803163996462, 'Primal_time': 1.017487, 'Dual': -5.031928680208194, 'Dual_time': 0.781101, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -5.044946018894943, 'res_plus_time': 0.934631, 'status_res_plus': 1.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': -4.151218453748163, 'Primal_time': 1.784381, 'Dual': -4.190416980393602, 'Dual_time': 0.934161, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.199717147277423, 'res_plus_time': 0.873359, 'status_res_plus': 1.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': -6.773679746848211, 'Primal_time': 0.650927, 'Dual': -6.773638453307259, 'Dual_time': 0.87126, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -6.77368857298366, 'res_plus_time': 0.73058, 'status_res_plus': 1.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': -6.476695571733941, 'Primal_time': 0.950489, 'Dual': -6.476707107606694, 'Dual_time': 1.091798, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -6.4766961636460305, 'res_plus_time': 0.72209, 'status_res_plus': 1.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 4.762337885327808, 'Primal_time': 0.629982, 'Dual': 4.7623436473327345, 'Dual_time': 0.321299, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 4.7623384256624295, 'res_plus_time': 0.334375, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 5.019007733347334, 'Primal_time': 0.918539, 'Dual': 5.018405555540486, 'Dual_time': 0.632687, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 5.018179032111166, 'res_plus_time': 0.782333, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': -5.160262131043027, 'Primal_time': 1.438682, 'Dual': -5.170662914094062, 'Dual_time': 0.888714, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -5.187489630220008, 'res_plus_time': 0.688237, 'status_res_plus': 1.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': -4.826530949451412, 'Primal_time': 1.393486, 'Dual': -4.835874718464295, 'Dual_time': 0.942447, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.846610512262083, 'res_plus_time': 0.829164, 'status_res_plus': 1.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': -7.909454028946997, 'Primal_time': 0.832242, 'Dual': -7.9094708784008185, 'Dual_time': 0.598019, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -7.909827132253334, 'res_plus_time': 0.757494, 'status_res_plus': 1.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': -4.555891394556661, 'Primal_time': 1.251663, 'Dual': -4.5922712896723725, 'Dual_time': 1.142949, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.615639397974326, 'res_plus_time': 1.204545, 'status_res_plus': 1.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': -7.310709461395283, 'Primal_time': 0.635021, 'Dual': -7.310666638376228, 'Dual_time': 0.749744, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -7.310710747257013, 'res_plus_time': 0.364133, 'status_res_plus': 1.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': -4.411976328541021, 'Primal_time': 1.390986, 'Dual': -4.432675226384217, 'Dual_time': 0.725264, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.434070347197003, 'res_plus_time': 0.682733, 'status_res_plus': 1.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': -4.66718770760174, 'Primal_time': 1.153734, 'Dual': -4.667531515048458, 'Dual_time': 0.789389, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.667569929451297, 'res_plus_time': 0.639716, 'status_res_plus': 1.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': -6.701704176941986, 'Primal_time': 1.723744, 'Dual': -6.704623510109564, 'Dual_time': 0.446928, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -6.704624973181947, 'res_plus_time': 0.654269, 'status_res_plus': 1.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': -5.835650358797407, 'Primal_time': 1.491057, 'Dual': -5.841648418029261, 'Dual_time': 0.753957, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -5.8487284059408635, 'res_plus_time': 0.641189, 'status_res_plus': 1.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 4.029244233710721, 'Primal_time': 0.48441, 'Dual': 4.029246115435124, 'Dual_time': 0.396777, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 4.029245394022743, 'res_plus_time': 0.598162, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': -4.122420122149974, 'Primal_time': 1.141842, 'Dual': -4.136101527139886, 'Dual_time': 0.473159, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.136100793567774, 'res_plus_time': 0.550251, 'status_res_plus': 1.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 4.405417603684535, 'Primal_time': 0.967193, 'Dual': 4.405033775705197, 'Dual_time': 0.91072, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 4.405020394461159, 'res_plus_time': 0.732004, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': -4.8135305493760745, 'Primal_time': 1.729167, 'Dual': -4.813924789038183, 'Dual_time': 0.89256, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.828732111859733, 'res_plus_time': 0.627383, 'status_res_plus': 1.0}
