{'dataset_idx': 29, 'true_label': 9, 'target_label': 5, 'epsilon': 0.1, 'verified_ub': -2.483306884765625, 'adv_lb': -4.200050354003906, 'adv_success': False, 'ibp_bound': 127.64991760253906, 'time': 3569.341630458832}
{'dataset_idx': 30, 'true_label': 8, 'target_label': 5, 'epsilon': 0.1, 'verified_ub': -0.83453369140625, 'adv_lb': -3.144536018371582, 'adv_success': False, 'ibp_bound': 128.53273010253906, 'time': 3553.1149961948395}
{'dataset_idx': 31, 'true_label': 9, 'target_label': 2, 'epsilon': 0.1, 'verified_ub': -1.4560546875, 'adv_lb': -3.714721918106079, 'adv_success': False, 'ibp_bound': 126.58908081054688, 'time': 3571.041358232498}
{'dataset_idx': 31, 'true_label': 9, 'target_label': 2, 'epsilon': 0.1, 'verified_ub': -1.46697998046875, 'adv_lb': -3.714721918106079, 'adv_success': False, 'ibp_bound': 126.58908081054688, 'time': 3673.881410598755}
{'dataset_idx': 32, 'true_label': 3, 'target_label': 7, 'epsilon': 0.1, 'verified_ub': -5.1975250244140625, 'adv_lb': -6.766088008880615, 'adv_success': False, 'ibp_bound': 129.19113159179688, 'time': 3680.5911655426025}
{'dataset_idx': 33, 'true_label': 1, 'target_label': 4, 'epsilon': 0.1, 'verified_ub': 4.07525634765625, 'adv_lb': -4.8599853515625, 'adv_success': False, 'ibp_bound': 338.9952392578125, 'time': 3690.8540575504303}
{'dataset_idx': 34, 'true_label': 3, 'target_label': 1, 'epsilon': 0.1, 'verified_ub': -2.135894775390625, 'adv_lb': -5.558255672454834, 'adv_success': False, 'ibp_bound': 158.28346252441406, 'time': 3668.8964116573334}
{'dataset_idx': 35, 'true_label': 8, 'target_label': 9, 'epsilon': 0.1, 'verified_ub': 0.409393310546875, 'adv_lb': -1.0897855758666992, 'adv_success': False, 'ibp_bound': 102.5205078125, 'time': 3678.1275038719177}
{'dataset_idx': 36, 'true_label': 8, 'target_label': 5, 'epsilon': 0.1, 'verified_ub': -4.335113525390625, 'adv_lb': -6.716617584228516, 'adv_success': False, 'ibp_bound': 136.48143005371094, 'time': 3670.2938661575317}
{'dataset_idx': 37, 'true_label': 6, 'target_label': 5, 'epsilon': 0.1, 'verified_ub': -8.123321533203125, 'adv_lb': -10.11825942993164, 'adv_success': False, 'ibp_bound': 155.10568237304688, 'time': 3685.8720054626465}
{'dataset_idx': 39, 'true_label': 5, 'target_label': 9, 'epsilon': 0.1, 'verified_ub': -1.7328338623046875, 'adv_lb': -3.9057066440582275, 'adv_success': False, 'ibp_bound': 120.0154800415039, 'time': 3677.098605632782}
{'dataset_idx': 40, 'true_label': 1, 'target_label': 6, 'epsilon': 0.1, 'verified_ub': -2.03924560546875, 'adv_lb': -10.273760795593262, 'adv_success': False, 'ibp_bound': 279.9048767089844, 'time': 3701.2909870147705}
{'dataset_idx': 41, 'true_label': 6, 'target_label': 0, 'epsilon': 0.1, 'verified_ub': -7.29052734375, 'adv_lb': -9.84976863861084, 'adv_success': False, 'ibp_bound': 141.28775024414062, 'time': 3680.684410572052}
{'dataset_idx': 42, 'true_label': 9, 'target_label': 6, 'epsilon': 0.1, 'verified_ub': -12.539276123046875, 'adv_lb': -16.29783058166504, 'adv_success': False, 'ibp_bound': 127.3272705078125, 'time': 3683.5683631896973}
{'dataset_idx': 43, 'true_label': 9, 'target_label': 4, 'epsilon': 0.1, 'verified_ub': 2.1544647216796875, 'adv_lb': 0.7770745754241943, 'adv_success': True, 'ibp_bound': 91.00811767578125, 'time': 3704.9169249534607}
{'dataset_idx': 44, 'true_label': 3, 'target_label': 4, 'epsilon': 0.1, 'verified_ub': -9.123046875, 'adv_lb': -11.252412796020508, 'adv_success': False, 'ibp_bound': 144.47610473632812, 'time': 3665.7391085624695}
{'dataset_idx': 45, 'true_label': 9, 'target_label': 3, 'epsilon': 0.1, 'verified_ub': -0.50250244140625, 'adv_lb': -5.123797416687012, 'adv_success': False, 'ibp_bound': 147.3513641357422, 'time': 3680.464341878891}
{'dataset_idx': 47, 'true_label': 8, 'target_label': 7, 'epsilon': 0.1, 'verified_ub': -7.9490814208984375, 'adv_lb': -10.844409942626953, 'adv_success': False, 'ibp_bound': 138.9980010986328, 'time': 3640.2919709682465}
{'dataset_idx': 48, 'true_label': 1, 'target_label': 0, 'epsilon': 0.1, 'verified_ub': -10.03009033203125, 'adv_lb': -19.227027893066406, 'adv_success': False, 'ibp_bound': 282.1184997558594, 'time': 3635.914393186569}
{'dataset_idx': 49, 'true_label': 7, 'target_label': 8, 'epsilon': 0.1, 'verified_ub': -5.943023681640625, 'adv_lb': -9.595558166503906, 'adv_success': False, 'ibp_bound': 138.32470703125, 'time': 3637.262378692627}
{'dataset_idx': 50, 'true_label': 9, 'target_label': 0, 'epsilon': 0.1, 'verified_ub': -12.228988647460938, 'adv_lb': -14.178478240966797, 'adv_success': False, 'ibp_bound': 95.44770812988281, 'time': 3620.82612323761}
{'dataset_idx': 51, 'true_label': 2, 'target_label': 9, 'epsilon': 0.1, 'verified_ub': -6.097198486328125, 'adv_lb': -9.308170318603516, 'adv_success': False, 'ibp_bound': 168.7611083984375, 'time': 3620.171049594879}
{'dataset_idx': 52, 'true_label': 3, 'target_label': 5, 'epsilon': 0.1, 'verified_ub': -4.117706298828125, 'adv_lb': -6.724391937255859, 'adv_success': False, 'ibp_bound': 153.5423126220703, 'time': 3646.4433920383453}
{'dataset_idx': 53, 'true_label': 5, 'target_label': 9, 'epsilon': 0.1, 'verified_ub': -3.814788818359375, 'adv_lb': -6.559633255004883, 'adv_success': False, 'ibp_bound': 131.7521209716797, 'time': 3635.904406785965}
{'dataset_idx': 54, 'true_label': 6, 'target_label': 5, 'epsilon': 0.1, 'verified_ub': -3.4951171875, 'adv_lb': -5.931650161743164, 'adv_success': False, 'ibp_bound': 155.79307556152344, 'time': 3640.3854808807373}
{'dataset_idx': 55, 'true_label': 2, 'target_label': 7, 'epsilon': 0.1, 'verified_ub': -3.908447265625, 'adv_lb': -5.778237342834473, 'adv_success': False, 'ibp_bound': 193.45529174804688, 'time': 3628.9567477703094}
{'dataset_idx': 57, 'true_label': 2, 'target_label': 6, 'epsilon': 0.1, 'verified_ub': -4.090850830078125, 'adv_lb': -6.349580764770508, 'adv_success': False, 'ibp_bound': 165.88409423828125, 'time': 3642.003349304199}
{'dataset_idx': 58, 'true_label': 0, 'target_label': 3, 'epsilon': 0.1, 'verified_ub': -3.712890625, 'adv_lb': -10.541007995605469, 'adv_success': False, 'ibp_bound': 273.8138732910156, 'time': 3629.4006872177124}
{'dataset_idx': 60, 'true_label': 8, 'target_label': 1, 'epsilon': 0.1, 'verified_ub': -4.026580810546875, 'adv_lb': -7.895133018493652, 'adv_success': False, 'ibp_bound': 176.33377075195312, 'time': 3659.0787744522095}
{'dataset_idx': 61, 'true_label': 1, 'target_label': 3, 'epsilon': 0.1, 'verified_ub': -2.92266845703125, 'adv_lb': -7.465312480926514, 'adv_success': False, 'ibp_bound': 261.3570861816406, 'time': 3656.1554942131042}
{'dataset_idx': 62, 'true_label': 6, 'target_label': 2, 'epsilon': 0.1, 'verified_ub': -4.290679931640625, 'adv_lb': -7.294093132019043, 'adv_success': False, 'ibp_bound': 171.90292358398438, 'time': 3640.9077196121216}
{'dataset_idx': 63, 'true_label': 0, 'target_label': 4, 'epsilon': 0.1, 'verified_ub': 0.71533203125, 'adv_lb': -8.279769897460938, 'adv_success': False, 'ibp_bound': 299.65032958984375, 'time': 3633.8390481472015}
{'dataset_idx': 64, 'true_label': 7, 'target_label': 4, 'epsilon': 0.1, 'verified_ub': -4.832183837890625, 'adv_lb': -7.371206760406494, 'adv_success': False, 'ibp_bound': 126.94156646728516, 'time': 3639.0993123054504}
{'dataset_idx': 65, 'true_label': 4, 'target_label': 5, 'epsilon': 0.1, 'verified_ub': -6.93609619140625, 'adv_lb': -10.593376159667969, 'adv_success': False, 'ibp_bound': 139.63113403320312, 'time': 3629.166556119919}
{'dataset_idx': 66, 'true_label': 6, 'target_label': 4, 'epsilon': 0.1, 'verified_ub': -1.8746337890625, 'adv_lb': -6.749847888946533, 'adv_success': False, 'ibp_bound': 194.06422424316406, 'time': 3647.7691552639008}
{'dataset_idx': 67, 'true_label': 6, 'target_label': 3, 'epsilon': 0.1, 'verified_ub': -7.192108154296875, 'adv_lb': -9.391270637512207, 'adv_success': False, 'ibp_bound': 153.71435546875, 'time': 3633.473129272461}
{'dataset_idx': 68, 'true_label': 7, 'target_label': 2, 'epsilon': 0.1, 'verified_ub': -1.152374267578125, 'adv_lb': -3.638347625732422, 'adv_success': False, 'ibp_bound': 133.79766845703125, 'time': 3633.8166234493256}
{'dataset_idx': 69, 'true_label': 7, 'target_label': 6, 'epsilon': 0.1, 'verified_ub': -11.129486083984375, 'adv_lb': -14.171486854553223, 'adv_success': False, 'ibp_bound': 151.8024139404297, 'time': 3631.772828578949}
{'dataset_idx': 70, 'true_label': 9, 'target_label': 6, 'epsilon': 0.1, 'verified_ub': -13.677093505859375, 'adv_lb': -17.00071144104004, 'adv_success': False, 'ibp_bound': 129.70199584960938, 'time': 3627.302014350891}
{'dataset_idx': 71, 'true_label': 9, 'target_label': 7, 'epsilon': 0.1, 'verified_ub': -1.942230224609375, 'adv_lb': -3.6078875064849854, 'adv_success': False, 'ibp_bound': 140.5131378173828, 'time': 3625.088837623596}
{'dataset_idx': 72, 'true_label': 1, 'target_label': 8, 'epsilon': 0.1, 'verified_ub': -0.41998291015625, 'adv_lb': -6.255837917327881, 'adv_success': False, 'ibp_bound': 303.35101318359375, 'time': 3619.458015203476}
{'dataset_idx': 73, 'true_label': 9, 'target_label': 6, 'epsilon': 0.1, 'verified_ub': -3.723114013671875, 'adv_lb': -6.67767333984375, 'adv_success': False, 'ibp_bound': 131.73117065429688, 'time': 3627.4188392162323}
{'dataset_idx': 74, 'true_label': 3, 'target_label': 9, 'epsilon': 0.1, 'verified_ub': -1.9609375, 'adv_lb': -3.4928064346313477, 'adv_success': False, 'ibp_bound': 150.47195434570312, 'time': 3650.211146593094}
{'dataset_idx': 75, 'true_label': 2, 'target_label': 8, 'epsilon': 0.1, 'verified_ub': -3.30670166015625, 'adv_lb': -6.091253757476807, 'adv_success': False, 'ibp_bound': 138.830078125, 'time': 3639.3905284404755}
{'dataset_idx': 76, 'true_label': 2, 'target_label': 1, 'epsilon': 0.1, 'verified_ub': -0.44134521484375, 'adv_lb': -2.791018486022949, 'adv_success': False, 'ibp_bound': 163.8175811767578, 'time': 3632.235965490341}
