{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.1166172368497512, 'Primal_time': 5.302401, 'Dual': 0.08435202215881238, 'Dual_time': 4.062854, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.02324359088305642, 'res_plus_time': 10.382109, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.056618099153151975, 'Primal_time': 5.03658, 'Dual': 0.04035660376099233, 'Dual_time': 6.335536, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.010865110201582675, 'res_plus_time': 14.192406, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.056845860177987276, 'Primal_time': 4.772369, 'Dual': 0.04089112755574961, 'Dual_time': 5.869805, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.01059965582504632, 'res_plus_time': 8.821987, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.11155677143353145, 'Primal_time': 4.932966, 'Dual': 0.0799761887957147, 'Dual_time': 6.291594, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.020726159252396768, 'res_plus_time': 11.392821, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.1251553474432161, 'Primal_time': 5.226144, 'Dual': 0.09646958433949264, 'Dual_time': 6.732515, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.03172794658599433, 'res_plus_time': 10.665065, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.05571592272712171, 'Primal_time': 4.908317, 'Dual': 0.04228571555825792, 'Dual_time': 6.320281, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.012833415557072401, 'res_plus_time': 11.616341, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.05825090997309349, 'Primal_time': 4.856452, 'Dual': 0.04260651145800219, 'Dual_time': 5.966895, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0118924991524596, 'res_plus_time': 10.232314, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.05262182476237528, 'Primal_time': 5.472133, 'Dual': 0.03811995325599802, 'Dual_time': 6.23912, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.010381917826554714, 'res_plus_time': 13.566404, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.05868636526705541, 'Primal_time': 4.905309, 'Dual': 0.042197340484970675, 'Dual_time': 5.268703, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.011422956970979975, 'res_plus_time': 14.073115, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.06273343705030632, 'Primal_time': 4.842129, 'Dual': 0.04842495712262295, 'Dual_time': 3.905712, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.015423915753639501, 'res_plus_time': 10.015242, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.06275363808348589, 'Primal_time': 5.380092, 'Dual': 0.04796802202296873, 'Dual_time': 6.580834, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.014802888305249529, 'res_plus_time': 11.741048, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.10594818290347954, 'Primal_time': 5.229516, 'Dual': 0.07402731547197985, 'Dual_time': 6.774081, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.008442131551786813, 'res_plus_time': 9.345926, 'status_res_plus': 0.0}
