{'target': 4, 'label': 9, 'model_name': '', 'Primal': 1.8676245883500016, 'Primal_time': 2556.961891, 'Dual': 1.7117522534147667, 'Dual_time': 1741.665834, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.5832789557910187, 'res_plus_time': 3416.296918, 'status_res_plus': 0.0}
{'target': 4, 'label': 6, 'model_name': '', 'Primal': 6.929190389421287, 'Primal_time': 2491.803208, 'Dual': 6.7014883851026985, 'Dual_time': 1919.339985, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 2.6645005539676228, 'res_plus_time': 4006.236919, 'status_res_plus': 0.0}
{'target': 9, 'label': 4, 'model_name': '', 'Primal': 0.688137958369176, 'Primal_time': 2660.686784, 'Dual': 0.5203535029299658, 'Dual_time': 1661.537299, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -1.357703775163532, 'res_plus_time': 4046.009678, 'status_res_plus': 1.0}
{'target': 6, 'label': 0, 'model_name': '', 'Primal': -1.42209133823767, 'Primal_time': 2350.392381, 'Dual': -1.6401278824567669, 'Dual_time': 1365.794616, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.224090476080697, 'res_plus_time': 3066.15287, 'status_res_plus': 1.0}
{'target': 5, 'label': 6, 'model_name': '', 'Primal': 6.0505890201684265, 'Primal_time': 2357.649897, 'Dual': 5.782248759009558, 'Dual_time': 1912.132585, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 2.717932029214659, 'res_plus_time': 4870.088619, 'status_res_plus': 0.0}
{'target': 8, 'label': 0, 'model_name': '', 'Primal': 5.1416112019175175, 'Primal_time': 2352.214664, 'Dual': 4.846945348247119, 'Dual_time': 1507.765201, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 1.3030628669110773, 'res_plus_time': 3385.797538, 'status_res_plus': 0.0}
{'target': 3, 'label': 5, 'model_name': '', 'Primal': 2.434209729246339, 'Primal_time': 2275.795997, 'Dual': 2.280596985511993, 'Dual_time': 1558.119086, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.9936431685932232, 'res_plus_time': 3083.036224, 'status_res_plus': 0.0}
{'target': 0, 'label': 8, 'model_name': '', 'Primal': 5.551893968458405, 'Primal_time': 2409.364688, 'Dual': 5.14604805153466, 'Dual_time': 1695.539508, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 2.027873444748621, 'res_plus_time': 3259.072392, 'status_res_plus': 0.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': 3.243743586023377, 'Primal_time': 2289.638407, 'Dual': 3.0011499981880796, 'Dual_time': 1381.822204, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 2.171012457796979, 'res_plus_time': 2727.77258, 'status_res_plus': 0.0}
{'target': 4, 'label': 8, 'model_name': '', 'Primal': 7.839449352033355, 'Primal_time': 2510.05585, 'Dual': 7.647194746710641, 'Dual_time': 1924.6165, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 6.427028336524024, 'res_plus_time': 4201.139609, 'status_res_plus': 0.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': 4.03433823360026, 'Primal_time': 2236.784997, 'Dual': 3.6311698915067327, 'Dual_time': 1467.92775, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 2.3604773423650958, 'res_plus_time': 3673.512148, 'status_res_plus': 0.0}
{'target': 2, 'label': 3, 'model_name': '', 'Primal': 3.124981331783908, 'Primal_time': 2637.48773, 'Dual': 2.891404366786254, 'Dual_time': 1630.427842, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 1.1443935190575383, 'res_plus_time': 3068.675184, 'status_res_plus': 0.0}
{'target': 8, 'label': 1, 'model_name': '', 'Primal': 15.260808236157507, 'Primal_time': 2454.13437, 'Dual': 14.961577017620076, 'Dual_time': 2318.689517, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 10.877189199292223, 'res_plus_time': 5065.677417, 'status_res_plus': 0.0}
{'target': 5, 'label': 3, 'model_name': '', 'Primal': 6.647768386749134, 'Primal_time': 2758.583526, 'Dual': 6.447968256319547, 'Dual_time': 1875.666673, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 3.669921400455707, 'res_plus_time': 3340.892736, 'status_res_plus': 0.0}
{'target': 9, 'label': 8, 'model_name': '', 'Primal': 4.07893891078535, 'Primal_time': 2342.70006, 'Dual': 3.92292379394551, 'Dual_time': 1579.309675, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 2.4278428757689383, 'res_plus_time': 3277.140364, 'status_res_plus': 0.0}
