{'target': 9, 'label': 0, 'model_name': '', 'Primal': -4.472954759812982, 'Primal_time': 2153.142887, 'Dual': -4.835179711488738, 'Dual_time': 1652.785235, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -7.272716396887654, 'res_plus_time': 2796.710011, 'status_res_plus': 1.0}
{'target': 6, 'label': 9, 'model_name': '', 'Primal': -2.157862917046349, 'Primal_time': 2072.181086, 'Dual': -2.5639554926961496, 'Dual_time': 1993.108757, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -3.5307119540053318, 'res_plus_time': 2836.5907, 'status_res_plus': 1.0}
{'target': 2, 'label': 4, 'model_name': '', 'Primal': 0.48530943539514687, 'Primal_time': 2079.10445, 'Dual': 0.2743471655292527, 'Dual_time': 1638.467254, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -0.9030111848919311, 'res_plus_time': 2974.402597, 'status_res_plus': 1.0}
{'target': 8, 'label': 2, 'model_name': '', 'Primal': -2.820529688616758, 'Primal_time': 2270.090853, 'Dual': -2.949484671219742, 'Dual_time': 1619.16075, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -3.6008001607156306, 'res_plus_time': 2416.291781, 'status_res_plus': 1.0}
{'target': 8, 'label': 4, 'model_name': '', 'Primal': -3.5934146312770023, 'Primal_time': 2088.120287, 'Dual': -3.760245183958159, 'Dual_time': 2103.09035, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.570640778043638, 'res_plus_time': 3228.370954, 'status_res_plus': 1.0}
{'target': 9, 'label': 8, 'model_name': '', 'Primal': -4.227458525456192, 'Primal_time': 2148.940976, 'Dual': -4.390390715679343, 'Dual_time': 2071.296025, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -5.575075160577295, 'res_plus_time': 3593.773571, 'status_res_plus': 1.0}
{'target': 1, 'label': 3, 'model_name': '', 'Primal': -0.8611158531870459, 'Primal_time': 2132.388947, 'Dual': -1.0426504824231246, 'Dual_time': 1972.015458, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -3.0178572161269535, 'res_plus_time': 2845.735101, 'status_res_plus': 1.0}
{'target': 3, 'label': 4, 'model_name': '', 'Primal': -7.502306191905694, 'Primal_time': 2059.416608, 'Dual': -7.738387698031998, 'Dual_time': 2559.836099, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -9.017766043316707, 'res_plus_time': 3390.808511, 'status_res_plus': 1.0}
{'target': 5, 'label': 0, 'model_name': '', 'Primal': -2.6484868107158053, 'Primal_time': 2133.975273, 'Dual': -2.991343083678539, 'Dual_time': 1544.751225, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.818687395639577, 'res_plus_time': 2439.77707, 'status_res_plus': 1.0}
{'target': 3, 'label': 0, 'model_name': '', 'Primal': -6.18752939864579, 'Primal_time': 2282.288812, 'Dual': -6.400913814537238, 'Dual_time': 1668.70933, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -8.502109712415713, 'res_plus_time': 3268.533019, 'status_res_plus': 1.0}
{'target': 8, 'label': 9, 'model_name': '', 'Primal': -3.9779802137898077, 'Primal_time': 2142.000034, 'Dual': -4.10366513496508, 'Dual_time': 1541.517221, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.479293471857003, 'res_plus_time': 2189.591768, 'status_res_plus': 1.0}
{'target': 5, 'label': 6, 'model_name': '', 'Primal': -5.42765760254257, 'Primal_time': 2071.978925, 'Dual': -5.614532202333609, 'Dual_time': 1848.720906, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -7.542778961315998, 'res_plus_time': 3452.309085, 'status_res_plus': 1.0}
{'target': 3, 'label': 4, 'model_name': '', 'Primal': -7.7016960659744225, 'Primal_time': 2146.412965, 'Dual': -7.884022745215602, 'Dual_time': 1972.029743, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -9.203224689036707, 'res_plus_time': 3559.915182, 'status_res_plus': 1.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': -6.092696133218358, 'Primal_time': 2343.947054, 'Dual': -6.288730181436305, 'Dual_time': 1773.586016, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -7.751929571958639, 'res_plus_time': 2509.089978, 'status_res_plus': 1.0}
